epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,21.1037,1.74425,0.42391,0.98913,1.48716,0.000319444,0.000319444,0.000319444
2,52.1348,1.40299,0.61957,1,1.08608,0.000626928,0.000626928,0.000626928
3,72.4998,1.08693,0.59783,1,0.92751,0.000908011,0.000908011,0.000908011
4,92.968,0.87714,0.6413,1,0.85488,0.0008812,0.0008812,0.0008812
5,113.152,0.76546,0.67391,1,0.89437,0.0008416,0.0008416,0.0008416
6,133.133,0.68315,0.67391,1,0.85136,0.000802,0.000802,0.000802
7,153.086,0.62107,0.66304,1,0.84974,0.0007624,0.0007624,0.0007624
8,173.177,0.55375,0.71739,1,0.87452,0.0007228,0.0007228,0.0007228
9,193.804,0.48969,0.63043,1,0.92735,0.0006832,0.0006832,0.0006832
10,214.169,0.46551,0.67391,1,0.96516,0.0006436,0.0006436,0.0006436
11,234.294,0.43594,0.69565,1,0.96672,0.000604,0.000604,0.000604
12,254.517,0.38329,0.68478,1,0.90555,0.0005644,0.0005644,0.0005644
13,274.527,0.41552,0.68478,1,0.99963,0.0005248,0.0005248,0.0005248
14,294.524,0.38343,0.66304,1,1.03422,0.0004852,0.0004852,0.0004852
15,315.013,0.3305,0.61957,1,1.01316,0.0004456,0.0004456,0.0004456
16,335.015,0.31537,0.67391,1,1.04272,0.000406,0.000406,0.000406
17,355.086,0.34322,0.67391,1,1.11176,0.0003664,0.0003664,0.0003664
18,375.082,0.29105,0.70652,1,1.09869,0.0003268,0.0003268,0.0003268
19,395.087,0.2711,0.68478,1,1.06197,0.0002872,0.0002872,0.0002872
20,415.559,0.27612,0.70652,1,1.05412,0.0002476,0.0002476,0.0002476
21,435.8,0.26356,0.68478,1,1.08941,0.000208,0.000208,0.000208
22,459.224,0.23631,0.69565,1,1.09454,0.0001684,0.0001684,0.0001684
23,492.869,0.25875,0.70652,1,1.11294,0.0001288,0.0001288,0.0001288
24,513.641,0.24405,0.69565,1,1.11011,8.92e-05,8.92e-05,8.92e-05
25,534.102,0.26844,0.72826,1,1.08674,4.96e-05,4.96e-05,4.96e-05
