epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,13.778,1.57353,0.4,1,1.38759,0.000308611,0.000308611,0.000308611
2,29.0022,1.35172,0.8,1,0.82512,0.000634134,0.000634134,0.000634134
3,43.9394,1.01468,0.8,1,0.60438,0.000910773,0.000910773,0.000910773
4,58.5204,0.78283,1,1,0.15963,0.000891022,0.000891022,0.000891022
5,71.222,0.54781,1,1,0.06226,0.000817696,0.000817696,0.000817696
6,84.5023,0.4313,1,1,0.01306,0.00074437,0.00074437,0.00074437
7,97.0034,0.28274,1,1,0.00696,0.000671044,0.000671044,0.000671044
8,111.343,0.30489,1,1,0.00266,0.000597718,0.000597718,0.000597718
9,124.116,0.24545,1,1,0.00176,0.000524392,0.000524392,0.000524392
10,137.681,0.1507,1,1,0.00099,0.000451066,0.000451066,0.000451066
11,149.745,0.19476,1,1,0.00082,0.00037774,0.00037774,0.00037774
12,152.672,0.22676,1,1,0.00073,0.000304414,0.000304414,0.000304414
13,155.389,0.17978,1,1,0.00074,0.000231088,0.000231088,0.000231088
14,157.994,0.13836,1,1,0.0008,0.000157762,0.000157762,0.000157762
15,160.704,0.24791,1,1,0.00075,8.4436e-05,8.4436e-05,8.4436e-05
